chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation
PT2PT,SPSC,2,1,1,5,0,Consumer,0,4,4,0.000013940,0.000267237,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,4,4,0.000013940,0.000267237,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,8,8,0.000004780,0.001558699,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,8,8,0.000004780,0.001558699,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,16,16,0.000006640,0.002244151,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,16,16,0.000006640,0.002244151,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,32,32,0.000031820,0.000936591,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,32,32,0.000031820,0.000936591,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,64,64,0.000015880,0.003753441,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,64,64,0.000015880,0.003753439,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,128,128,0.000028400,0.004197510,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,128,128,0.000028400,0.004197509,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,256,256,0.000082700,0.002882933,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,256,256,0.000082700,0.002882933,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,512,512,0.000109880,0.004339617,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,512,512,0.000109880,0.004339617,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,1024,1024,0.000229560,0.004154358,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,1024,1024,0.000229560,0.004154357,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,2048,2048,0.000381980,0.004993321,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,2048,2048,0.000381980,0.004993322,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,4096,4096,0.000857120,0.004450599,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,4096,4096,0.000857120,0.004450598,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,8192,8192,0.001515200,0.005035239,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,8192,8192,0.001515200,0.005035240,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,16384,16384,0.002888960,0.005281759,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,16384,16384,0.002888960,0.005281758,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Consumer,0,32768,32768,0.005442220,0.005607561,OpenMPI
PT2PT,SPSC,2,1,1,5,0,Producer,1,32768,32768,0.005442218,0.005607563,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,8,16,0.000016400,0.000454304,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,8,8,0.000016400,0.000454304,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,8,8,0.000016400,0.000454304,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,16,32,0.000010020,0.001487142,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,16,16,0.000010020,0.001487141,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,16,16,0.000010020,0.001487142,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,32,64,0.000019860,0.001500620,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,32,32,0.000019860,0.001500621,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,32,32,0.000019860,0.001500621,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,64,128,0.000045240,0.001317521,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,64,64,0.000045240,0.001317521,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,64,64,0.000045240,0.001317521,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,128,256,0.000089940,0.001325431,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,128,128,0.000089940,0.001325431,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,128,128,0.000089940,0.001325431,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,256,512,0.000135400,0.001760846,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,256,256,0.000135400,0.001760846,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,256,256,0.000135400,0.001760846,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,512,1024,0.000192580,0.002476047,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,512,512,0.000192580,0.002476047,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,512,512,0.000192580,0.002476048,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,1024,2048,0.000310640,0.003070031,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,1024,1024,0.000310640,0.003070031,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,1024,1024,0.000310640,0.003070031,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,2048,4096,0.000695060,0.002744150,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,2048,2048,0.000695060,0.002744150,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,2048,2048,0.000695060,0.002744151,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,4096,8192,0.001700400,0.002243412,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,4096,4096,0.001700400,0.002243411,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,4096,4096,0.001700400,0.002243412,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,8192,16384,0.003346920,0.002279527,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,8192,8192,0.003346919,0.002279528,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,8192,8192,0.003346918,0.002279528,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,16384,32768,0.006174460,0.002471275,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,16384,16384,0.006174460,0.002471275,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,16384,16384,0.006174457,0.002471276,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Consumer,0,32768,65536,0.012531260,0.002435316,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,1,32768,32768,0.012531262,0.002435316,OpenMPI
PT2PT,MPSC,3,2,1,5,0,Producer,2,32768,32768,0.012531259,0.002435316,OpenMPI
